"depth_1m","vol.inc","area_1m","lake","cumvol","vol_1m","area.inc","inc","alpha"
0,0,667072.42,"gg",4530632.58,4530632.58,25533.905,"0 - 1",Inf
0,638011.58116152,667072.42,"gg_test",4541235.69544262,4541235.69544262,58121.6776769599,"0 - 1",0.0910981546309043
0,523711.348104259,594000,"WS",3217234.51234252,3217234.51234252,140577.303791482,"0 - 1",0.268425162640349
0,527946.55516683,623000,"PS",2905949.61230385,2905949.61230385,190106.889666341,"0 - 1",0.360087375901653
0,3541.2747757824,3900,"fukuSW",12683.6996901994,12683.6996901994,717.450448435191,"0 - 1",0.20259666189746
0,3541.2747757824,3900,"fukuNO",12683.6996901994,12683.6996901994,717.450448435191,"0 - 1",0.20259666189746
0,7920140.92792455,8573558.8,"sc",81474819.1725288,81474819.1725288,1306835.74415091,"0 - 1",0.165001577123876
0,1194983.17649208,1310000,"hs",7452492.79873311,7452492.79873311,230033.647015831,"0 - 1",0.192499485801217
0,4012078.65881327,4120000,"st",111523905.273276,111523905.273276,215842.682373451,"0 - 1",0.0537982180133265
0,5098096.65403431,5140000,"ar",167995406.975187,167995406.975187,83806.6919313893,"0 - 1",0.0164388197436528
1,650188.97,641538.515,"gg",4530632.58,4530632.58,35843.705,"1 - 2",0.0551281345175695
1,584493.156732264,608950.74232304,"gg_test",4541235.69544262,3903224.1142811,48915.1711815516,"1 - 2",0.0836881845717793
1,411856.589002535,453422.696208518,"WS",3217234.51234252,2693523.16423826,83132.2144119656,"1 - 2",0.201847479515385
1,381923.761508504,432893.110333659,"PS",2905949.61230385,2378003.05713702,101938.697650311,"1 - 2",0.266908498302588
1,2919.94339411757,3182.54955156481,"fukuSW",12683.6996901994,9142.42491441704,525.212314894475,"1 - 2",0.179870718025751
1,2919.94339411757,3182.54955156481,"fukuNO",12683.6996901994,9142.42491441704,525.212314894475,"1 - 2",0.179870718025751
1,6804523.42423432,7266723.05584909,"sc",81474819.1725288,73554678.2446043,924399.263229545,"1 - 2",0.135850698953772
1,1003162.78088906,1079966.35298417,"hs",7452492.79873311,6257509.62224102,153607.144190213,"1 - 2",0.153122850166029
1,3809328.60606997,3904157.31762655,"st",111523905.273276,107511826.614463,189657.423113158,"1 - 2",0.0497876247302344
1,5015631.39023018,5056193.30806861,"ar",167995406.975187,162897310.321152,81123.8356768666,"1 - 2",0.0161742020824907
2,614817.24,605694.81,"gg",4530632.58,3880443.61,39800.3,"2 - 3",0.0647351723578865
2,538486.065331428,560035.571141489,"gg_test",4541235.69544262,3318730.95754884,43099.0116201211,"2 - 3",0.0800373758856592
2,341767.473735896,370290.481796552,"WS",3217234.51234252,2281666.57523573,57046.0161213119,"2 - 3",0.166914702261558
2,298620.431462171,330954.412683349,"PS",2905949.61230385,1996079.29562852,64667.9624423556,"2 - 3",0.216555719666314
2,2427.35158096321,2657.33723667033,"fukuSW",12683.6996901994,6222.48152029946,459.971311414239,"2 - 3",0.189495133305623
2,2427.35158096321,2657.33723667033,"fukuNO",12683.6996901994,6222.48152029946,459.971311414239,"2 - 3",0.189495133305623
2,5992087.61184788,6342323.79261954,"sc",81474819.1725288,66750154.82037,700472.361543337,"2 - 3",0.116899552696514
2,868750.420083182,926359.208793956,"hs",7452492.79873311,5254346.84135196,115217.577421548,"2 - 3",0.132624485419548
2,3630198.11751438,3714499.89451339,"st",111523905.273276,103702498.008393,168603.553998025,"2 - 3",0.0464447252023449
2,4935726.76918537,4975069.47239174,"ar",167995406.975187,157881678.930922,78685.406412743,"2 - 3",0.0159420101825713
3,576188.41,565894.51,"gg",4530632.58,3265626.37,47244.895,"3 - 4",0.0819955663460846
3,497225.715774972,516936.559521367,"gg_test",4541235.69544262,2780244.89221741,39421.6874927903,"3 - 4",0.079283283712203
3,291903.551482457,313244.46567524,"WS",3217234.51234252,1939899.10149983,42681.8283855668,"3 - 4",0.146218941731964
3,243687.916417456,266286.450240993,"PS",2905949.61230385,1697458.86416634,45197.0676470748,"3 - 4",0.18547110710918
3,1957.42272975311,2197.3659252561,"fukuSW",12683.6996901994,3795.12993933625,479.886391005974,"3 - 4",0.245162367694843
3,1957.42272975311,2197.3659252561,"fukuNO",12683.6996901994,3795.12993933625,479.886391005974,"3 - 4",0.245162367694843
3,5363689.7146019,5641851.43107621,"sc",81474819.1725288,60758067.2085221,556323.432948611,"3 - 4",0.103720286323442
3,764665.951237146,811141.631372408,"hs",7452492.79873311,4385596.42126878,92951.3602705244,"3 - 4",0.121558126290492
3,3470210.15349417,3545896.34051537,"st",111523905.273276,100072299.890879,151372.374042387,"3 - 4",0.0436205207600955
3,4858150.8415916,4896384.065979,"ar",167995406.975187,152945952.161737,76466.4487747969,"3 - 4",0.0157398259683813
4,530566.71,518649.615,"gg",4530632.58,2689437.96,41615.38,"4 - 5",0.0784357164059539
4,458870.33609696,477514.872028577,"gg_test",4541235.69544262,2283019.17644244,37289.071863235,"4 - 5",0.0812627640749387
4,253650.981813941,270562.637289673,"WS",3217234.51234252,1647995.55001738,33823.3109514652,"4 - 5",0.133345870414471
4,204260.641021771,221089.382593918,"PS",2905949.61230385,1453770.94774889,33657.4831442936,"4 - 5",0.164777134625296
4,1348.2234883541,1717.47953425012,"fukuSW",12683.6996901994,1837.70720958314,738.512091792042,"4 - 5",0.547766819204145
4,1348.2234883541,1717.47953425012,"fukuNO",12683.6996901994,1837.70720958314,738.512091792042,"4 - 5",0.547766819204145
4,4856909.26472005,5085527.9981276,"sc",81474819.1725288,55394377.4939202,457237.466815094,"4 - 5",0.0941416530336291
4,678691.617297408,718190.271101884,"hs",7452492.79873311,3620930.47003163,78997.307608951,"4 - 5",0.11639646872835
4,3325995.90283885,3394523.96647298,"st",111523905.273276,96602089.7373846,137056.127268265,"4 - 5",0.0412075454306133
4,4782694.799295,4819917.6172042,"ar",167995406.975187,148087801.320145,74445.6358184032,"4 - 5",0.0155656254355551
5,486804.2,477034.235,"gg",4530632.58,2158871.25,36927.055,"5 - 6",0.0758560731398784
5,421992.592396239,440225.800165342,"gg_test",4541235.69544262,1824148.84034548,36466.4155382057,"5 - 6",0.0864148238506632
5,222767.946904494,236739.326338208,"WS",3217234.51234252,1394344.56820344,27942.7588674282,"5 - 6",0.125434378040966
5,174323.537971189,187431.899449625,"PS",2905949.61230385,1249510.30672712,26216.7229568714,"5 - 6",0.150391182177614
5,489.483721229039,978.967442458079,"fukuSW",12683.6996901994,489.483721229039,978.967442458079,"5 - NA",2
5,489.483721229039,978.967442458079,"fukuNO",12683.6996901994,489.483721229039,978.967442458079,"5 - NA",2
5,4435404.6852289,4628290.5313125,"sc",81474819.1725288,50537468.2292001,385771.692167216,"5 - 6",0.0869755342622829
5,604207.086861428,639192.963492933,"hs",7452492.79873311,2942238.85273422,69971.7532630096,"5 - 6",0.115807567942442
5,3194964.19360101,3257467.83920471,"st",111523905.273276,93276093.8345458,125007.291207413,"5 - 6",0.0391263512304089
5,4709169.64111507,4745471.9813858,"ar",167995406.975187,143305106.52085,72604.6805414641,"5 - 6",0.015417724583027
6,449670.54,440107.18,"gg",4530632.58,1672067.05,47589.93,"6 - 7",0.10583288378198
6,385256.866240292,403759.384627136,"gg_test",4541235.69544262,1402156.24794924,37005.0367736885,"6 - 7",0.0960528935793393
6,196876.654108363,208796.56747078,"WS",3217234.51234252,1171576.62129894,23839.826724834,"6 - 7",0.121090165986427
6,150655.245621941,161215.176492753,"PS",2905949.61230385,1075186.76875593,21119.8617416245,"6 - 7",0.140186700134049
6,4076367.41096512,4242518.83914529,"sc",81474819.1725288,46102063.5439712,332302.856360326,"6 - 7",0.0815193585019977
6,537089.539926319,569221.210229923,"hs",7452492.79873311,2338031.76587279,64263.3406072076,"6 - 7",0.119651074597401
6,3075084.16568057,3132460.5479973,"st",111523905.273276,90081129.6409448,114752.764633462,"6 - 7",0.0373169508380155
6,4637403.36954338,4672867.30084434,"ar",167995406.975187,138595936.879735,70927.8626019126,"6 - 7",0.015294736504428
7,405053.28,392517.25,"gg",4530632.58,1222396.51,63610.58,"7 - 8",0.157042500680404
7,347078.07044417,366754.347853448,"gg_test",4541235.69544262,1016899.38170895,39352.5548185563,"7 - 8",0.11338242940038
7,174515.996231703,184956.740745946,"WS",3217234.51234252,974699.967190578,20881.4890284865,"7 - 8",0.1196537250417
7,131362.188956972,140095.314751129,"PS",2905949.61230385,924531.523133988,17466.2515883133,"7 - 8",0.132962549779332
7,3764648.98454232,3910215.98278496,"sc",81474819.1725288,42025696.1330061,291133.996485285,"7 - 8",0.0773336365968472
7,474387.070468577,504957.869622716,"hs",7452492.79873311,1800942.22594647,61141.5983082776,"7 - 8",0.128885465297115
7,2964737.96914427,3017707.78336384,"st",111523905.273276,87006045.4752642,105939.628439131,"7 - 8",0.0357332180926966
7,4567238.61542546,4601939.43824242,"ar",167995406.975187,133958533.510192,69401.6456339201,"7 - 8",0.0151955374960095
8,346744.68,328906.67,"gg",4530632.58,817343.23,101156.98,"8 - 9",0.29173332954957
8,304950.385817929,327401.793034891,"gg_test",4541235.69544262,669821.311264779,44902.8144339243,"8 - 9",0.147246294880025
8,154720.642414545,164075.25171746,"WS",3217234.51234252,800183.970958875,18709.2186058294,"8 - 9",0.120922575771768
8,115252.498057567,122629.063162815,"PS",2905949.61230385,793169.334177016,14753.1302104974,"8 - 9",0.12800703203091
8,3489731.23985747,3619081.98629968,"sc",81474819.1725288,38261047.1484638,258701.492884407,"8 - 9",0.0741322110796626
8,413573.492465557,443816.271314438,"hs",7452492.79873311,1326555.1554779,60485.5576977618,"8 - 9",0.146251050417113
8,2862618.26113464,2911768.15492471,"st",111523905.273276,84041307.5061199,98299.7875801446,"8 - 9",0.0343391184618456
8,4498530.60935592,4532537.7926085,"ar",167995406.975187,129391294.894766,68014.3665051693,"8 - 9",0.0151192405724027
9,253211.02,227749.69,"gg",4530632.58,470598.55,108346.24,"9 - 10",0.427889117938074
9,253060.207373667,282498.978600967,"gg_test",4541235.69544262,364870.92544685,58877.5424546011,"9 - 10",0.232662191601159
9,136810.249616904,145366.03311163,"WS",3217234.51234252,645463.32854433,17111.5669894527,"9 - 10",0.125075182870937
9,101535.386643343,107875.932952318,"PS",2905949.61230385,677916.836119449,12681.0926179501,"9 - 10",0.124893330662089
9,3244042.72514304,3360380.49341527,"sc",81474819.1725288,34771315.9086063,232675.536544457,"9 - 10",0.0717239433195806
9,351864.533061432,383330.713616676,"hs",7452492.79873311,912981.663012341,62932.361110489,"9 - 10",0.178853948600445
9,2767655.22124983,2813468.36734456,"st",111523905.273276,81178689.2449853,91626.2921894654,"9 - 10",0.0331061078294602
9,4431145.43497222,4464523.42610333,"ar",167995406.975187,124892764.28541,66755.9822622268,"9 - 10",0.0150651751881949
10,158860.63,119403.45,"gg",4530632.58,217387.53,85232.575,"10 - 11",0.536524216226512
10,111810.718073183,223621.436146366,"gg_test",4541235.69544262,111810.718073183,223621.436146366,"10 - 11",2
10,120272.137408586,128254.466122177,"WS",3217234.51234252,508653.078927426,15964.6574271825,"10 - 11",0.132737787580407
10,89663.6086232866,95194.8403343678,"PS",2905949.61230385,576381.449476106,11062.4634221625,"10 - 11",0.123377405750425
10,3021966.40614748,3127704.95687081,"sc",81474819.1725288,31527273.1834633,211477.101446663,"10 - 11",0.0699799643756671
10,284886.36997803,320398.352506187,"hs",7452492.79873311,561117.129950909,71023.9650563144,"10 - 11",0.249306293810377
10,2678963.52529911,2721842.0751551,"st",111523905.273276,78411034.0237354,85757.0997119742,"10 - 11",0.0320112979897325
10,4364958.51193343,4397767.44384111,"ar",167995406.975187,120461618.850438,65617.8638153598,"10 - 11",0.0150328722795339
11,57224.57,34170.875,"gg",4530632.58,58526.9,34170.875,"11 - 12",0.597136422344458
11,0,0,"gg_test",4541235.69544262,0,0,"11 - NA",NA
11,104687.140192614,112289.808694995,"WS",3217234.51234252,388380.94151884,15205.3370047624,"11 - 12",0.145245509398634
11,79245.0589629707,84132.3769122053,"PS",2905949.61230385,486717.84085282,9774.63589846918,"11 - 12",0.123346944609337
11,2819225.93236738,2916227.85542415,"sc",81474819.1725288,28505306.7773158,194003.846113529,"11 - 12",0.0688145791673456
11,200458.976848908,249374.387449873,"hs",7452492.79873311,276230.759972879,97830.8212019299,"11 - 12",0.488034124187255
11,2595803.12389233,2636084.97544312,"st",111523905.273276,75732070.4984363,80563.7031015917,"11 - 12",0.0310361376639338
11,4299853.26606435,4332149.58002575,"ar",167995406.975187,116096660.338505,64592.627922805,"11 - 12",0.015022053992537
12,1302.33,0,"gg",4530632.58,1302.33,0,"12 - NA",0
12,89671.6808437244,97084.4716902326,"WS",3217234.51234252,283693.801326226,14825.5816930164,"12 - 13",0.165331814386905
12,69990.3523612823,74357.7410137362,"PS",2905949.61230385,407472.781889849,8734.77730490769,"12 - 13",0.124799733252088
12,2632490.34889952,2722224.00931062,"sc",81474819.1725288,25686080.8449484,179467.320822191,"12 - 13",0.0681739710450279
12,75771.7831239714,151543.566247943,"hs",7452492.79873311,75771.7831239714,151543.566247943,"12 - NA",2
12,2517549.76442655,2555521.27234153,"st",111523905.273276,73136267.374544,75943.0158299655,"12 - 13",0.0301654477313833
12,4235719.95162094,4267556.95210294,"ar",167995406.975187,111796807.07244,63674.0009639999,"12 - 13",0.0150326276739879
13,74812.2479379282,82258.8899972162,"WS",3217234.51234252,194022.120482502,14893.284118576,"13 - 14",0.199075479337728
13,61680.2614125085,65622.9637088285,"PS",2905949.61230385,337482.429528567,7885.40459263994,"13 - 14",0.127843242101448
13,2459110.40979843,2542756.68848843,"sc",81474819.1725288,23053590.4960489,167292.557380002,"13 - 14",0.0680297056664956
13,2443672.51532631,2479578.25651157,"st",111523905.273276,70618717.6101175,71811.4823705154,"13 - 14",0.0293867046096094
13,4172454.59638989,4203882.95113894,"ar",167995406.975187,107561087.120819,62856.7094981032,"13 - 14",0.0150646838799608
14,59543.9518210593,67365.6058786402,"WS",3217234.51234252,119209.872544574,15643.3081151619,"14 - 15",0.262718674806351
14,54144.648183537,57737.5591161885,"PS",2905949.61230385,275802.168116058,7185.82186530306,"14 - 15",0.132715274849416
14,2296937.03296601,2375464.13110843,"sc",81474819.1725288,20594480.0862505,157054.196284825,"14 - 15",0.0683754905035522
14,2373716.4050827,2407766.77414105,"st",111523905.273276,68175045.0947912,68100.7381167049,"14 - 15",0.0286895005531768
